updated,A3,A4,A5
08:05:41,7.251,0.498,6.351
08:05:36,7.358,0.486,6.446
08:05:31,7.358,0.462,6.434
08:05:26,7.370,0.486,6.363
08:05:21,7.311,0.486,6.232
08:05:16,7.275,0.486,5.794
08:05:11,7.358,0.462,6.410
08:05:06,7.358,0.438,6.410
08:05:01,7.322,0.474,6.304
08:04:56,7.299,0.462,5.889
08:04:51,7.334,0.474,6.386
08:04:46,7.358,0.462,6.446
08:04:41,7.346,0.438,6.469
08:04:36,7.334,0.462,6.149
08:04:31,7.346,0.486,6.422
08:04:26,7.346,0.474,6.327
08:04:21,7.382,0.486,6.351
08:04:16,7.370,0.486,6.363
08:04:11,7.370,0.486,6.386
08:04:06,7.346,0.498,6.292
08:04:01,7.346,0.509,6.351
08:03:56,7.334,0.486,6.244
08:03:51,7.370,0.498,6.351
08:03:46,7.358,0.498,6.398
08:03:41,7.358,0.498,6.363
08:03:36,7.346,0.498,6.315
08:03:31,7.322,0.498,6.209
08:03:26,7.370,0.498,6.458
08:03:21,7.370,0.509,6.327
08:03:16,7.382,0.498,6.386
08:03:11,7.358,0.521,6.280
08:03:06,7.311,0.521,5.984
08:03:01,7.370,0.521,6.375
08:02:56,7.382,0.509,6.375
08:02:51,7.334,0.533,6.209
08:02:47,7.311,0.533,6.280
08:02:41,7.370,0.533,6.327
08:02:36,7.370,0.545,6.268
08:02:31,7.358,0.533,6.256
08:02:26,7.346,0.557,5.972
08:02:21,7.346,0.557,5.676
08:02:16,7.358,0.557,6.173
08:02:11,7.465,0.545,6.244
08:02:06,7.370,0.545,6.149
08:02:01,7.322,0.545,6.209
08:01:56,7.358,0.569,6.244
08:01:51,7.370,0.557,6.232
08:01:46,7.382,0.557,6.185
08:01:42,7.358,0.557,6.268
08:01:36,7.370,0.569,6.244
08:01:31,7.358,0.569,6.209
08:01:26,7.346,0.557,6.221
08:01:21,7.370,0.545,6.256
08:01:16,7.370,0.545,6.244
08:01:11,7.311,0.533,5.806
08:01:06,7.346,0.545,6.232
08:01:01,7.346,0.533,6.280
08:00:56,7.358,0.509,6.244
08:00:51,7.346,0.521,6.078
08:00:46,7.346,0.521,6.375
08:00:41,7.358,0.521,6.268
