updated,A0,A1,A2,A3,A4,A5
08:18:35,2.243,0.000,0.181,2.849,0.274,2.659
08:18:24,2.082,0.000,0.181,2.849,0.254,2.473
08:18:24,2.248,0.000,0.171,2.840,0.264,2.595
08:18:17,2.263,0.000,0.166,2.835,0.264,2.669
08:18:11,2.146,0.000,0.176,2.854,0.264,2.532
08:18:05,2.356,0.000,0.176,2.835,0.264,2.537
08:17:54,2.136,0.000,0.186,2.840,0.264,2.630
08:17:54,2.287,0.000,0.186,2.849,0.254,2.615
08:17:46,2.317,0.000,0.181,2.835,0.264,2.449
08:17:39,2.297,0.000,0.171,2.840,0.259,2.512
08:17:34,2.307,0.000,0.156,2.840,0.264,2.586
08:17:27,2.048,0.000,0.156,2.835,0.264,2.356
08:17:21,2.195,0.000,0.181,2.849,0.264,2.605
08:17:15,2.253,0.000,0.181,2.845,0.264,2.644
08:17:10,2.312,0.000,0.186,2.849,0.259,2.654
08:17:03,2.214,0.000,0.171,2.854,0.264,2.669
08:16:57,2.302,0.000,0.181,2.854,0.259,2.644
08:16:51,2.273,0.000,0.186,2.845,0.264,2.586
08:16:45,2.278,0.000,0.171,2.849,0.264,2.639
08:16:40,2.199,0.000,0.176,2.835,0.264,2.600
08:16:34,2.155,0.000,0.186,2.845,0.264,2.634
08:16:28,2.297,0.000,0.176,2.854,0.264,2.576
08:16:22,2.283,0.000,0.166,2.849,0.264,2.615
08:16:16,2.190,0.000,0.176,2.840,0.259,2.439
08:16:11,2.346,0.000,0.181,2.840,0.264,2.620
08:16:05,2.229,0.000,0.186,2.840,0.259,2.634
08:15:54,2.195,0.000,0.181,2.854,0.264,2.620
08:15:54,2.195,0.000,0.181,2.854,0.264,2.620
08:15:47,2.209,0.000,0.181,2.849,0.264,2.625
08:15:42,2.336,0.000,0.171,2.840,0.264,2.590
08:15:36,2.346,0.000,0.181,2.840,0.264,2.576
08:15:30,2.170,0.000,0.171,2.835,0.264,2.551
08:15:24,2.229,0.000,0.166,2.830,0.259,2.502
08:15:19,2.063,0.000,0.166,2.830,0.264,2.610
08:15:13,2.151,0.000,0.152,2.825,0.264,2.527
08:15:07,2.243,0.000,0.181,2.849,0.264,2.610
08:15:01,2.273,0.000,0.176,2.854,0.264,2.610
08:14:56,2.278,0.000,0.181,2.840,0.264,2.605
08:14:50,2.302,0.000,0.181,2.845,0.259,2.586
08:14:45,2.195,0.000,0.181,2.840,0.259,2.561
08:14:38,2.341,0.000,0.181,2.845,0.264,2.600
08:14:32,2.175,0.000,0.161,2.825,0.264,2.605
08:14:27,2.151,0.000,0.186,2.845,0.274,2.586
08:14:22,2.107,0.000,0.171,2.830,0.264,2.375
08:14:15,2.326,0.000,0.171,2.854,0.264,2.600
08:14:10,2.195,0.000,0.176,2.854,0.259,2.605
08:13:59,2.111,0.000,0.181,2.849,0.259,2.576
08:13:59,2.185,0.000,0.186,2.849,0.264,2.595
08:13:54,2.248,0.000,0.176,2.830,0.264,2.532
08:13:48,2.214,0.000,0.181,2.849,0.264,2.493
08:13:42,2.243,0.000,0.186,2.825,0.264,2.434
08:13:36,2.151,0.000,0.186,2.854,0.259,2.610
08:13:30,2.336,0.000,0.181,2.854,0.264,2.586
08:13:20,2.126,0.000,0.166,2.840,0.264,2.615
08:13:19,2.185,0.000,0.171,2.845,0.264,2.581
08:13:13,2.258,0.000,0.171,2.854,0.264,2.590
08:13:08,2.155,0.000,0.176,2.825,0.264,2.488
08:13:02,2.019,0.000,0.176,2.849,0.264,2.370
08:12:57,2.185,0.000,0.176,2.845,0.264,2.571
08:12:51,2.302,0.000,0.181,2.864,0.264,2.595
08:12:45,2.248,0.000,0.186,2.840,0.259,2.615
08:12:34,2.336,0.000,0.181,2.835,0.259,2.590
08:12:34,2.336,0.000,0.181,2.835,0.259,2.590
08:12:28,2.219,0.000,0.176,2.849,0.264,2.537
08:12:23,2.278,0.000,0.166,2.830,0.259,2.542
08:12:17,2.136,0.000,0.156,2.840,0.264,2.429
08:12:11,2.195,0.000,0.181,2.845,0.259,2.649
