updated,,,A2,A3,A4,A5
08:40:48,,,3.045,2.928,0.386,2.317
08:40:42,1.945,0.000,3.055,2.942,0.386,2.326
08:40:35,2.004,0.000,3.050,2.937,0.386,2.317
08:40:25,2.019,0.000,3.035,2.937,0.371,2.312
08:39:33,1.984,0.000,3.050,2.928,0.386,2.351
08:38:33,1.921,0.000,3.045,2.923,0.376,2.111
08:37:33,2.058,0.000,3.050,2.933,0.386,2.278
08:36:33,1.945,0.000,3.040,2.933,0.386,2.292
08:35:33,1.975,0.000,3.050,2.933,0.386,2.297
08:34:33,2.019,0.000,3.045,2.928,0.391,2.307
08:33:32,1.975,0.000,3.035,2.928,0.386,2.302
08:32:33,2.033,0.000,3.045,2.908,0.381,2.307
08:31:33,1.999,0.000,3.045,2.928,0.386,2.297
08:30:33,1.975,0.000,3.045,2.933,0.386,2.302
08:29:33,1.994,0.000,3.040,2.913,0.381,2.258
08:28:33,2.097,0.000,3.030,2.937,0.386,2.307
08:27:33,1.857,0.000,3.055,2.923,0.381,2.116
08:26:33,1.984,0.000,3.045,2.923,0.386,2.268
08:25:33,1.994,0.000,3.050,2.933,0.391,2.322
08:24:33,1.901,0.000,3.040,2.928,0.376,2.111
08:23:33,1.979,0.000,3.040,2.933,0.386,2.292
08:22:33,2.058,0.000,3.035,2.923,0.386,2.312
08:21:33,2.019,0.000,3.055,2.913,0.381,2.326
08:20:33,2.082,0.000,3.050,2.928,0.376,2.297
08:19:33,1.911,0.000,3.050,2.918,0.381,2.151
08:18:33,1.960,0.000,3.050,2.933,0.386,2.273
08:17:32,1.931,0.000,3.040,2.923,0.391,2.307
08:16:33,1.984,0.000,3.040,2.908,0.381,2.322
08:15:33,2.004,0.000,3.040,2.933,0.381,2.292
08:14:33,1.906,0.000,3.040,2.923,0.376,2.253
08:13:33,1.989,0.000,3.040,2.923,0.381,2.292
08:12:33,2.063,0.000,3.050,2.928,0.381,2.292
08:11:33,2.033,0.000,3.055,2.903,0.376,2.302
08:10:33,1.975,0.000,3.030,2.928,0.381,2.322
08:09:33,1.994,0.000,3.060,2.923,0.381,2.092
08:08:33,2.082,0.000,3.035,2.923,0.381,2.263
08:07:33,2.033,0.000,3.045,2.933,0.376,2.331
08:06:33,2.009,0.000,3.060,2.923,0.371,2.307
08:05:33,1.843,0.000,3.040,2.923,0.362,2.170
08:04:33,2.058,0.000,3.050,2.928,0.376,2.268
08:03:33,2.009,0.000,3.040,2.937,0.371,2.297
08:02:33,1.926,0.000,3.045,2.893,0.371,2.263
08:01:33,2.009,0.000,3.040,2.928,0.367,2.292
08:00:33,2.028,0.000,3.025,2.928,0.371,2.322
07:59:33,2.067,0.000,3.050,2.933,0.367,2.287
07:58:33,2.038,0.000,3.060,2.893,0.371,2.297
07:57:33,2.038,0.000,3.040,2.908,0.367,2.287
07:56:33,2.009,0.000,3.045,2.923,0.371,2.346
07:55:33,1.926,0.000,3.045,2.923,0.362,2.229
07:54:33,2.038,0.000,3.035,2.918,0.367,2.322
07:53:33,1.984,0.000,3.050,2.928,0.367,2.283
07:52:33,2.058,0.000,3.045,2.923,0.362,2.322
07:51:33,1.994,0.000,3.045,2.913,0.357,2.356
07:50:33,1.970,0.000,3.055,2.918,0.367,2.268
07:49:33,1.945,0.000,3.055,2.918,0.371,2.287
07:48:33,1.999,0.000,3.045,2.918,0.367,2.292
07:47:33,1.989,0.000,3.035,2.928,0.357,2.322
07:46:33,2.009,0.000,3.050,2.923,0.362,2.341
07:45:33,1.901,0.000,3.060,2.918,0.362,2.224
07:44:33,1.979,0.000,3.035,2.928,0.371,2.312
07:43:32,1.989,0.000,3.030,2.913,0.357,2.322
07:42:33,1.926,0.000,3.045,2.898,0.362,2.199
07:41:33,1.950,0.000,3.055,2.928,0.357,2.287
07:40:33,2.111,0.000,3.040,2.918,0.362,2.326
07:39:33,1.975,0.000,3.040,2.889,0.362,2.336
07:38:33,1.975,0.000,3.045,2.923,0.371,2.199
07:37:33,1.999,0.000,3.040,2.918,0.357,2.312
07:36:33,2.023,0.000,3.050,2.928,0.367,2.326
07:35:33,2.014,0.000,3.050,2.903,0.357,2.326
07:34:33,1.999,0.000,3.040,2.918,0.362,2.278
07:33:32,1.984,0.000,3.050,2.928,0.362,2.331
07:32:33,1.838,0.000,3.035,2.874,0.362,2.273
07:31:33,1.975,0.000,3.055,2.918,0.371,2.292
07:30:33,1.999,0.000,3.050,2.923,0.362,2.366
07:29:33,2.063,0.000,3.050,2.918,0.362,2.361
07:28:33,2.033,0.000,3.050,2.913,0.367,2.341
07:27:33,2.004,0.000,3.050,2.918,0.371,2.341
07:26:32,2.058,0.000,3.050,2.928,0.367,2.346
07:25:33,1.891,0.000,3.045,2.918,0.367,2.229
07:24:33,2.053,0.000,3.045,2.913,0.371,2.307
07:23:33,1.984,0.000,3.055,2.923,0.362,2.317
07:22:33,1.984,0.000,3.050,2.928,0.362,2.307
07:21:33,1.945,0.000,3.040,2.879,0.367,2.170
07:20:33,2.014,0.000,3.045,2.918,0.371,2.346
07:19:33,2.014,0.000,3.040,2.928,0.362,2.317
07:18:32,2.033,0.000,3.040,2.903,0.357,2.317
07:17:33,2.009,0.000,3.050,2.923,0.352,2.346
07:16:33,1.950,0.000,3.055,2.903,0.362,2.317
07:15:32,2.028,0.000,3.030,2.918,0.352,2.370
07:14:33,2.048,0.000,3.055,2.918,0.357,2.375
07:13:33,1.960,0.000,3.040,2.923,0.357,2.263
07:12:33,2.014,0.000,3.040,2.918,0.367,2.317
07:11:33,1.901,0.000,3.050,2.893,0.362,2.283
07:10:33,1.935,0.000,3.045,2.908,0.357,2.283
07:09:33,1.994,0.000,3.050,2.923,0.371,2.331
07:08:33,1.960,0.000,3.060,2.889,0.371,2.312
07:07:33,1.994,0.000,3.035,2.903,0.371,2.322
07:06:33,2.033,0.000,3.035,2.928,0.371,2.331
07:05:33,1.950,0.000,3.040,2.923,0.371,2.326
07:04:33,2.067,0.000,3.045,2.893,0.371,2.317
07:03:32,2.023,0.000,3.045,2.918,0.376,2.322
07:02:33,2.004,0.000,3.045,2.923,0.367,2.307
07:01:33,2.067,0.000,3.040,2.918,0.371,2.302
07:00:33,2.087,0.000,3.045,2.923,0.371,2.312
06:59:33,1.989,0.000,3.050,2.908,0.376,2.273
06:58:33,2.033,0.000,3.055,2.923,0.367,2.292
06:57:33,2.014,0.000,3.050,2.923,0.371,2.336
06:56:33,1.970,0.000,3.040,2.913,0.362,2.307
06:55:33,1.989,0.000,3.050,2.918,0.367,2.273
06:54:33,1.872,0.000,3.050,2.893,0.371,2.209
06:53:33,2.019,0.000,3.045,2.913,0.362,2.322
06:52:33,2.053,0.000,3.045,2.918,0.367,2.336
06:51:33,2.028,0.000,3.045,2.923,0.376,2.307
06:50:33,1.950,0.000,3.055,2.913,0.371,2.239
06:49:33,1.975,0.000,3.045,2.918,0.362,2.287
06:48:33,1.960,0.000,3.055,2.884,0.367,2.268
06:47:33,2.072,0.000,3.045,2.908,0.371,2.258
06:46:33,2.004,0.000,3.045,2.918,0.376,2.326
06:45:33,1.979,0.000,3.050,2.893,0.371,2.312
06:44:33,2.028,0.000,3.055,2.908,0.371,2.336
06:43:33,2.033,0.000,3.045,2.913,0.371,2.341
06:42:33,1.945,0.000,3.035,2.898,0.362,2.307
06:41:32,1.989,0.000,3.040,2.913,0.367,2.336
06:40:32,1.979,0.000,3.035,2.908,0.381,2.346
06:39:33,1.862,0.000,3.060,2.923,0.367,2.146
06:38:33,2.053,0.000,3.055,2.918,0.381,2.253
06:37:32,1.979,0.000,3.040,2.903,0.381,2.307
06:36:33,2.053,0.000,3.045,2.893,0.381,2.307
06:35:32,1.999,0.000,3.050,2.918,0.381,2.268
06:34:33,1.984,0.000,3.050,2.879,0.376,2.263
06:33:33,1.940,0.000,3.050,2.913,0.381,2.312
06:32:33,1.979,0.000,3.050,2.918,0.381,2.312
06:31:33,1.921,0.000,3.040,2.898,0.367,2.190
06:30:33,1.965,0.000,3.055,2.918,0.376,2.317
06:29:32,1.960,0.000,3.045,2.918,0.381,2.307
06:28:33,1.877,0.000,3.040,2.913,0.381,2.048
06:27:33,1.989,0.000,3.045,2.908,0.367,2.326
06:26:32,2.097,0.000,3.030,2.913,0.376,2.302
06:25:33,2.028,0.000,3.050,2.879,0.376,2.278
06:24:33,1.921,0.000,3.035,2.913,0.381,2.312
06:23:33,1.931,0.000,3.045,2.908,0.376,2.273
06:22:32,1.935,0.000,3.045,2.893,0.381,2.253
06:21:33,1.926,0.000,3.050,2.913,0.381,2.258
06:20:33,2.097,0.000,3.045,2.908,0.386,2.341
06:19:32,1.916,0.000,3.050,2.908,0.381,2.160
06:18:33,2.048,0.000,3.045,2.908,0.391,2.263
06:17:32,1.955,0.000,3.040,2.903,0.386,2.297
06:16:33,1.852,0.000,3.045,2.898,0.386,2.287
06:15:32,2.028,0.000,3.040,2.913,0.386,2.268
06:14:33,1.950,0.000,3.050,2.864,0.386,2.248
06:13:33,2.043,0.000,3.045,2.913,0.381,2.317
06:12:32,1.975,0.000,3.045,2.898,0.381,2.322
06:11:33,1.989,0.000,3.035,2.908,0.381,2.268
06:10:32,1.989,0.000,3.050,2.918,0.386,2.283
06:09:33,1.945,0.000,3.040,2.903,0.381,2.278
06:08:33,1.989,0.000,3.050,2.918,0.386,2.248
06:07:33,1.950,0.000,3.035,2.903,0.381,2.307
06:06:33,1.950,0.000,3.045,2.893,0.376,2.297
06:05:33,2.009,0.000,3.045,2.898,0.381,2.273
06:04:33,2.053,0.000,3.045,2.918,0.391,2.331
06:03:33,1.823,0.000,3.050,2.903,0.371,2.131
06:02:33,2.004,0.000,3.055,2.918,0.386,2.331
06:01:33,1.994,0.000,3.040,2.908,0.381,2.312
06:00:33,2.048,0.000,3.040,2.923,0.386,2.268
05:59:33,1.940,0.000,3.060,2.918,0.386,2.131
05:58:33,1.955,0.000,3.045,2.898,0.391,2.185
05:57:33,1.975,0.000,3.050,2.918,0.386,2.312
05:56:33,2.033,0.000,3.040,2.918,0.386,2.331
05:55:33,2.009,0.000,3.035,2.908,0.376,2.317
05:54:33,1.979,0.000,3.045,2.908,0.381,2.312
05:53:33,1.940,0.000,3.040,2.898,0.376,2.258
05:52:33,1.970,0.000,3.045,2.908,0.381,2.278
05:51:33,2.028,0.000,3.050,2.893,0.386,2.175
05:50:32,1.984,0.000,3.030,2.893,0.386,2.331
05:49:33,2.092,0.000,3.045,2.913,0.386,2.346
05:48:33,1.911,0.000,3.050,2.913,0.386,2.317
05:47:33,2.063,0.000,3.040,2.903,0.386,2.307
05:46:33,1.979,0.000,3.050,2.893,0.386,2.273
05:45:33,1.931,0.000,3.045,2.908,0.391,2.258
05:44:33,2.048,0.000,3.045,2.898,0.391,2.302
05:43:33,2.097,0.000,3.055,2.903,0.391,2.307
05:42:33,1.955,0.000,3.045,2.889,0.381,2.312
05:41:33,2.111,0.000,3.050,2.908,0.386,2.322
05:40:33,2.033,0.000,3.050,2.913,0.381,2.336
05:39:33,1.955,0.000,3.040,2.889,0.381,2.287
05:38:33,2.014,0.000,3.050,2.903,0.391,2.322
05:37:33,1.950,0.000,3.055,2.874,0.386,2.326
05:36:33,1.975,0.000,3.040,2.908,0.376,2.307
05:35:33,1.999,0.000,3.050,2.908,0.386,2.326
05:34:33,1.989,0.000,3.045,2.893,0.386,2.307
05:33:33,2.014,0.000,3.035,2.908,0.386,2.312
05:32:33,1.950,0.000,3.040,2.918,0.386,2.287
05:31:33,2.004,0.000,3.045,2.903,0.386,2.297
05:30:32,1.975,0.000,3.040,2.908,0.386,2.292
05:29:32,2.067,0.000,3.050,2.884,0.376,2.219
05:28:32,1.921,0.000,3.040,2.898,0.381,2.283
05:27:33,2.004,0.000,3.045,2.918,0.381,2.292
05:26:32,2.038,0.000,3.050,2.884,0.391,2.209
05:25:32,1.979,0.000,3.050,2.898,0.386,2.263
05:24:32,1.979,0.000,3.045,2.913,0.386,2.297
05:23:33,1.896,0.000,3.045,2.869,0.376,2.317
05:22:33,1.975,0.000,3.040,2.893,0.386,2.322
05:21:33,2.111,0.000,3.055,2.908,0.391,2.341
05:20:33,2.067,0.000,3.060,2.893,0.381,2.336
05:19:32,1.960,0.000,3.040,2.908,0.386,2.317
05:18:33,1.989,0.000,3.055,2.908,0.386,2.307
05:17:33,1.916,0.000,3.050,2.893,0.381,2.302
05:16:32,1.935,0.000,3.045,2.898,0.371,2.322
05:15:33,1.989,0.000,3.050,2.903,0.391,2.346
05:14:33,1.994,0.000,3.040,2.893,0.386,2.229
05:13:33,1.970,0.000,3.045,2.908,0.376,2.331
05:12:33,1.945,0.000,3.050,2.903,0.381,2.322
05:11:32,1.989,0.000,3.045,2.898,0.381,2.317
05:10:32,2.043,0.000,3.050,2.908,0.381,2.351
05:09:33,2.028,0.000,3.035,2.898,0.381,2.346
05:08:33,2.053,0.000,3.035,2.898,0.376,2.326
05:07:33,1.935,0.000,3.050,2.937,0.386,2.331
05:06:33,1.950,0.000,3.040,2.908,0.376,2.278
05:05:33,2.072,0.000,3.055,2.908,0.391,2.341
05:04:33,1.935,0.000,3.050,2.893,0.381,2.336
05:03:33,2.111,0.000,3.040,2.898,0.381,2.302
05:02:32,2.053,0.000,3.055,2.903,0.386,2.322
05:01:32,2.009,0.000,3.045,2.889,0.391,2.341
05:00:32,1.960,0.000,3.040,2.898,0.381,2.317
04:59:33,2.028,0.000,3.055,2.903,0.381,2.307
04:58:33,1.979,0.000,3.050,2.884,0.381,2.268
04:57:33,1.965,0.000,3.060,2.908,0.376,2.283
04:56:33,2.048,0.000,3.045,2.893,0.376,2.370
04:55:33,2.082,0.000,3.045,2.889,0.381,2.356
04:54:33,2.009,0.000,3.045,2.893,0.381,2.287
04:53:33,2.053,0.000,3.045,2.903,0.381,2.341
04:52:33,1.975,0.000,3.025,2.898,0.376,2.346
04:51:33,1.935,0.000,3.050,2.898,0.381,2.263
04:50:33,1.965,0.000,3.045,2.908,0.381,2.351
04:49:32,2.077,0.000,3.045,2.893,0.381,2.336
04:48:33,2.004,0.000,3.045,2.908,0.376,2.326
04:47:33,1.979,0.000,3.055,2.879,0.381,2.141
04:46:32,1.950,0.000,3.045,2.898,0.381,2.307
04:45:33,1.989,0.000,3.050,2.903,0.376,2.336
