updated,A3,A5
13:16:32,4.917,4.953
13:16:31,4.917,4.965
13:16:30,4.905,4.953
13:16:29,4.917,4.965
13:16:28,4.905,4.953
13:16:27,4.929,4.953
13:16:26,4.917,4.965
13:16:24,4.917,4.965
13:16:24,4.917,4.965
13:16:22,4.905,4.965
13:16:22,4.905,4.953
13:16:20,4.917,4.965
13:16:20,4.929,4.953
13:16:18,4.917,4.976
13:16:18,4.917,4.965
13:16:16,4.894,4.976
13:16:16,4.917,4.976
13:16:14,4.905,4.953
13:16:13,4.917,4.965
13:16:12,4.917,4.953
13:16:11,4.917,4.965
13:16:10,4.905,4.965
13:16:09,4.917,4.976
13:16:08,4.905,4.941
13:16:07,4.917,4.976
13:16:06,4.917,4.953
13:16:05,4.894,4.953
13:16:04,4.917,4.965
13:16:03,4.917,4.941
13:16:02,4.905,4.976
13:16:01,4.905,4.953
13:16:00,4.917,4.965
13:15:59,4.965,4.976
13:15:58,4.905,4.965
13:15:56,4.917,4.953
13:15:56,4.917,4.953
13:15:55,4.917,4.965
13:15:54,4.905,4.965
13:15:53,4.905,4.953
13:15:52,4.917,4.953
13:15:51,4.929,4.976
13:15:50,4.929,4.953
13:15:49,4.917,4.965
13:15:48,4.917,4.965
13:15:47,4.894,4.953
13:15:47,4.929,4.965
13:15:45,4.905,4.953
13:15:44,4.905,4.965
13:15:43,4.917,4.941
13:15:43,4.917,4.965
13:15:41,4.905,4.953
13:15:40,4.905,4.965
13:15:39,4.917,4.965
13:15:38,4.905,4.941
13:15:36,4.905,4.965
13:15:36,4.905,4.953
13:15:35,4.917,4.941
13:15:34,4.929,4.953
13:15:33,4.905,4.965
13:15:32,4.905,4.965
13:15:31,4.894,4.941
13:15:30,4.905,4.965
13:15:29,4.917,4.953
13:15:28,4.905,4.965
13:15:27,4.894,4.941
13:15:25,4.917,4.965
13:15:25,4.917,4.965
13:15:24,4.905,4.965
13:15:23,4.905,4.965
13:15:22,4.905,4.953
13:15:21,4.917,4.965
13:15:20,4.905,4.941
13:15:19,4.905,4.965
13:15:19,4.917,4.965
13:15:17,4.905,4.941
13:15:16,4.905,4.941
13:15:16,4.905,4.953
13:15:14,4.929,4.953
13:15:13,4.917,4.953
13:15:12,4.917,4.965
13:15:10,4.917,4.953
13:15:10,4.929,4.965
13:15:09,4.917,4.965
13:15:08,4.917,4.976
13:15:07,4.917,4.976
13:15:06,4.905,4.953
13:15:05,4.905,4.965
