updated,A5,A4,A3,A2,A1,A0
02/10/2021 00:00:02,7.239,0.143,0.000,0.000,0.000,2.561
01/10/2021 23:59:57,7.227,0.155,0.000,0.000,0.000,2.615
01/10/2021 23:59:52,7.181,0.155,0.000,0.000,0.000,2.610
01/10/2021 23:59:47,7.193,0.131,0.000,0.000,0.000,2.551
01/10/2021 23:59:42,7.181,0.155,0.000,0.000,0.000,2.493
01/10/2021 23:59:37,7.193,0.131,0.000,0.000,0.000,2.600
01/10/2021 23:59:32,7.205,0.143,0.000,0.000,0.000,2.634
01/10/2021 23:59:27,7.205,0.131,0.000,0.000,0.000,2.444
01/10/2021 23:59:22,7.193,0.143,0.000,0.000,0.000,2.625
01/10/2021 23:59:17,7.205,0.155,0.000,0.000,0.000,2.581
01/10/2021 23:59:12,7.168,0.165,0.000,0.000,0.000,2.517
01/10/2021 23:59:07,7.132,0.165,0.000,0.000,0.000,2.586
01/10/2021 23:59:02,7.156,0.131,0.000,0.000,0.000,2.522
01/10/2021 23:58:57,7.110,0.143,0.000,0.000,0.000,2.493
01/10/2021 23:58:52,7.062,0.155,0.000,0.000,0.000,2.507
01/10/2021 23:58:47,7.074,0.143,0.000,0.000,0.000,2.449
01/10/2021 23:58:42,7.004,0.131,0.000,0.000,0.000,2.561
01/10/2021 23:58:37,7.025,0.143,0.000,0.000,0.000,2.625
01/10/2021 23:58:32,7.004,0.143,0.000,0.000,0.000,2.463
01/10/2021 23:58:27,6.979,0.143,0.000,0.000,0.000,2.610
01/10/2021 23:58:22,6.992,0.143,0.000,0.000,0.000,2.458
01/10/2021 23:58:17,6.967,0.131,0.000,0.000,0.000,2.615
01/10/2021 23:58:12,6.967,0.143,0.000,0.000,0.000,2.605
01/10/2021 23:58:07,7.004,0.131,0.000,0.000,0.000,2.463
01/10/2021 23:58:02,6.955,0.131,0.000,0.000,0.000,2.473
01/10/2021 23:57:57,6.992,0.131,0.000,0.000,0.000,2.512
01/10/2021 23:57:52,6.955,0.155,0.000,0.000,0.000,2.493
01/10/2021 23:57:47,6.967,0.131,0.000,0.000,0.000,2.517
01/10/2021 23:57:42,6.979,0.143,0.000,0.000,0.000,2.546
01/10/2021 23:57:37,6.955,0.131,0.000,0.000,0.000,2.468
01/10/2021 23:57:32,6.992,0.131,0.000,0.000,0.000,2.463
01/10/2021 23:57:27,7.038,0.131,0.000,0.000,0.000,2.493
01/10/2021 23:57:22,7.050,0.155,0.000,0.000,0.000,2.473
01/10/2021 23:57:17,7.086,0.143,0.000,0.000,0.000,2.546
01/10/2021 23:57:12,7.098,0.155,0.000,0.000,0.000,2.581
01/10/2021 23:57:07,7.110,0.131,0.000,0.000,0.000,2.634
01/10/2021 23:57:02,7.132,0.131,0.000,0.000,0.000,2.512
01/10/2021 23:56:57,7.132,0.165,0.000,0.000,0.000,2.674
01/10/2021 23:56:52,7.132,0.155,0.000,0.000,0.000,2.678
01/10/2021 23:56:47,7.156,0.143,0.000,0.000,0.000,2.522
01/10/2021 23:56:42,7.168,0.143,0.000,0.000,0.000,2.683
01/10/2021 23:56:37,7.120,0.131,0.000,0.000,0.000,2.625
01/10/2021 23:56:32,7.168,0.165,0.000,0.000,0.000,2.590
01/10/2021 23:56:27,7.168,0.131,0.000,0.000,0.000,2.595
01/10/2021 23:56:22,7.110,0.155,0.000,0.000,0.000,2.542
01/10/2021 23:56:17,7.168,0.155,0.000,0.000,0.000,2.605
01/10/2021 23:56:12,7.168,0.143,0.000,0.000,0.000,2.620
01/10/2021 23:56:07,7.181,0.143,0.000,0.000,0.000,2.478
01/10/2021 23:56:02,7.132,0.143,0.000,0.000,0.000,2.683
01/10/2021 23:55:57,7.132,0.143,0.000,0.000,0.000,2.581
01/10/2021 23:55:52,7.120,0.143,0.000,0.000,0.000,2.532
01/10/2021 23:55:47,7.144,0.131,0.000,0.000,0.000,2.517
01/10/2021 23:55:42,7.156,0.165,0.000,0.000,0.000,2.556
01/10/2021 23:55:37,7.110,0.155,0.000,0.000,0.000,2.410
01/10/2021 23:55:32,7.132,0.155,0.000,0.000,0.000,2.498
01/10/2021 23:55:27,7.120,0.155,0.000,0.000,0.000,2.566
01/10/2021 23:55:22,7.156,0.131,0.000,0.000,0.000,2.581
01/10/2021 23:55:17,7.144,0.143,0.000,0.000,0.000,2.590
01/10/2021 23:55:12,7.156,0.155,0.000,0.000,0.000,2.605
01/10/2021 23:55:07,7.132,0.155,0.000,0.000,0.000,2.649
01/10/2021 23:55:02,7.156,0.143,0.000,0.000,0.000,2.683
01/10/2021 23:54:57,7.120,0.143,0.000,0.000,0.000,2.498
01/10/2021 23:54:52,7.144,0.143,0.000,0.000,0.000,2.532
01/10/2021 23:54:47,7.144,0.155,0.000,0.000,0.000,2.571
01/10/2021 23:54:42,7.156,0.155,0.000,0.000,0.000,2.669
01/10/2021 23:54:37,7.144,0.131,0.000,0.000,0.000,2.571
01/10/2021 23:54:32,7.168,0.131,0.000,0.000,0.000,2.502
01/10/2021 23:54:27,7.156,0.131,0.000,0.000,0.000,2.576
01/10/2021 23:54:22,7.168,0.165,0.000,0.000,0.000,2.576
01/10/2021 23:54:17,7.181,0.155,0.000,0.000,0.000,2.551
01/10/2021 23:54:12,7.168,0.131,0.000,0.000,0.000,2.620
01/10/2021 23:54:07,7.168,0.143,0.000,0.000,0.000,2.625
01/10/2021 23:54:02,7.168,0.131,0.000,0.000,0.000,2.605
01/10/2021 23:53:57,7.168,0.155,0.000,0.000,0.000,2.678
01/10/2021 23:53:52,7.132,0.155,0.000,0.000,0.000,2.493
01/10/2021 23:53:47,7.132,0.143,0.000,0.000,0.000,2.605
01/10/2021 23:53:42,7.132,0.155,0.000,0.000,0.000,2.561
01/10/2021 23:53:37,7.120,0.143,0.000,0.000,0.000,2.468
01/10/2021 23:53:32,7.132,0.155,0.000,0.000,0.000,2.571
