updated,A5,A4,A3,A2,A1,A0
29/09/2021 00:00:04,0.000,3.542,5.261,0.000,0.000,0.450
28/09/2021 23:59:59,0.000,3.566,5.248,0.000,0.000,0.425
28/09/2021 23:59:54,0.000,3.566,5.236,0.000,0.000,0.415
28/09/2021 23:59:49,0.000,3.554,5.273,0.000,0.000,0.362
28/09/2021 23:59:44,0.000,3.554,5.248,0.000,0.000,0.411
28/09/2021 23:59:39,0.000,3.566,5.236,0.000,0.000,0.391
28/09/2021 23:59:34,0.000,3.542,5.273,0.000,0.000,0.386
28/09/2021 23:59:29,0.000,3.542,5.261,0.000,0.000,0.381
28/09/2021 23:59:24,0.000,3.554,5.273,0.000,0.000,0.420
28/09/2021 23:59:19,0.000,3.554,5.248,0.000,0.000,0.415
28/09/2021 23:59:14,0.000,3.554,5.273,0.000,0.000,0.318
28/09/2021 23:59:09,0.000,3.542,5.248,0.000,0.000,0.332
28/09/2021 23:59:04,0.000,3.554,5.273,0.000,0.000,0.391
28/09/2021 23:58:59,0.000,3.532,5.309,0.000,0.000,0.396
28/09/2021 23:58:54,0.000,3.532,5.309,0.000,0.000,0.347
28/09/2021 23:58:49,0.000,3.542,5.321,0.000,0.000,0.332
28/09/2021 23:58:44,0.000,3.542,5.297,0.000,0.000,0.415
28/09/2021 23:58:39,0.000,3.542,5.297,0.000,0.000,0.425
28/09/2021 23:58:34,0.000,3.532,5.297,0.000,0.000,0.323
28/09/2021 23:58:29,0.000,3.542,5.285,0.000,0.000,0.430
28/09/2021 23:58:24,0.000,3.554,5.285,0.000,0.000,0.318
28/09/2021 23:58:19,0.000,3.554,5.285,0.000,0.000,0.425
28/09/2021 23:58:14,0.000,3.532,5.261,0.000,0.000,0.386
28/09/2021 23:58:09,0.000,3.542,5.285,0.000,0.000,0.323
28/09/2021 23:58:04,0.000,3.554,5.224,0.000,0.000,0.430
28/09/2021 23:57:59,0.000,3.554,5.224,0.000,0.000,0.323
28/09/2021 23:57:54,0.000,3.578,5.190,0.000,0.000,0.401
28/09/2021 23:57:49,0.000,3.578,5.178,0.000,0.000,0.420
